Precinct,County,Registered Voters,John Hogue_Election Day Votes,John Hogue_Advanced Voting Votes,John Hogue_Absentee by Mail Votes,John Hogue_Provisional Votes,John Hogue_Choice Total,Total,calc_participation
Bloodworth,Wilkinson,434.0,142.0,82.0,22.0,0.0,246.0,246.0,56.7
Griffin,Wilkinson,184.0,72.0,26.0,23.0,0.0,121.0,121.0,65.8
High Hill,Wilkinson,173.0,59.0,28.0,14.0,0.0,101.0,101.0,58.4
Irwinton,Wilkinson,875.0,83.0,288.0,85.0,1.0,457.0,457.0,52.2
Ivey,Wilkinson,960.0,265.0,176.0,51.0,2.0,494.0,494.0,51.5
Lord,Wilkinson,735.0,150.0,170.0,76.0,0.0,396.0,396.0,53.9
Midway,Wilkinson,938.0,101.0,220.0,123.0,3.0,447.0,447.0,47.7
Ramah,Wilkinson,1709.0,341.0,427.0,192.0,0.0,960.0,960.0,56.2
Turkey Creek,Wilkinson,462.0,132.0,81.0,27.0,0.0,240.0,240.0,51.9
