Precinct,County,Registered Voters,Frank Ginn (I) (Rep)_Election Day Votes,Frank Ginn (I) (Rep)_Advanced Voting Votes,Frank Ginn (I) (Rep)_Absentee by Mail Votes,Frank Ginn (I) (Rep)_Provisional Votes,Frank Ginn (I) (Rep)_Choice Total,Dawn Johnson (Dem)_Election Day Votes,Dawn Johnson (Dem)_Advanced Voting Votes,Dawn Johnson (Dem)_Absentee by Mail Votes,Dawn Johnson (Dem)_Provisional Votes,Dawn Johnson (Dem)_Choice Total,Total,calc_participation,Rep_total,Dem_total
01 Bethlehem Community Center,Barrow,3359.0,483.0,999.0,242.0,0.0,1724.0,109.0,257.0,162.0,0.0,528.0,2252.0,67.0,1724.0,528.0
02 Bethlehem Church - 211,Barrow,6784.0,744.0,2549.0,710.0,0.0,4003.0,135.0,396.0,355.0,1.0,887.0,4890.0,72.1,4003.0,887.0
03 Hmong New Hope Alliance Church,Barrow,6364.0,883.0,1701.0,499.0,1.0,3084.0,182.0,399.0,322.0,0.0,903.0,3987.0,62.6,3084.0,903.0
04 Covenant Life Sanctuary,Barrow,4012.0,436.0,1162.0,283.0,0.0,1881.0,113.0,286.0,204.0,0.0,603.0,2484.0,61.9,1881.0,603.0
05 Fire Station 1 (Statham),Barrow,8336.0,936.0,2641.0,646.0,0.0,4223.0,255.0,798.0,595.0,0.0,1648.0,5871.0,70.4,4223.0,1648.0
08 First Baptist Church Winder,Barrow,7009.0,715.0,2515.0,563.0,0.0,3793.0,165.0,529.0,353.0,0.0,1047.0,4840.0,69.1,3793.0,1047.0
13 Winder Community Center,Barrow,9393.0,684.0,2384.0,614.0,0.0,3682.0,339.0,1029.0,582.0,0.0,1950.0,5632.0,60.0,3682.0,1950.0
16 The Church at Winder,Barrow,10348.0,969.0,2781.0,652.0,2.0,4404.0,394.0,1237.0,793.0,2.0,2426.0,6830.0,66.0,4404.0,2426.0
Colbert,Madison,3342.0,449.0,953.0,236.0,1.0,1639.0,153.0,323.0,218.0,0.0,694.0,2333.0,69.8,1639.0,694.0
Collins,Madison,647.0,189.0,164.0,45.0,0.0,398.0,17.0,26.0,21.0,0.0,64.0,462.0,71.4,398.0,64.0
Comer,Madison,1441.0,227.0,355.0,94.0,0.0,676.0,97.0,132.0,137.0,0.0,366.0,1042.0,72.3,676.0,366.0
Danielsville,Madison,3003.0,281.0,1166.0,278.0,0.0,1725.0,52.0,171.0,130.0,0.0,353.0,2078.0,69.2,1725.0,353.0
Fork,Madison,566.0,158.0,81.0,24.0,0.0,263.0,33.0,54.0,43.0,0.0,130.0,393.0,69.4,263.0,130.0
Harrison,Madison,610.0,241.0,142.0,58.0,0.0,441.0,9.0,21.0,7.0,0.0,37.0,478.0,78.4,441.0,37.0
Hull,Madison,4376.0,528.0,1051.0,363.0,1.0,1943.0,223.0,438.0,291.0,1.0,953.0,2896.0,66.2,1943.0,953.0
Ila,Madison,1746.0,294.0,527.0,163.0,0.0,984.0,40.0,55.0,64.0,0.0,159.0,1143.0,65.5,984.0,159.0
Mill,Madison,1646.0,318.0,582.0,134.0,1.0,1035.0,37.0,67.0,66.0,0.0,170.0,1205.0,73.2,1035.0,170.0
Paoli,Madison,267.0,99.0,64.0,24.0,0.0,187.0,9.0,5.0,10.0,0.0,24.0,211.0,79.0,187.0,24.0
Pittman,Madison,1949.0,365.0,544.0,213.0,0.0,1122.0,68.0,115.0,109.0,0.0,292.0,1414.0,72.6,1122.0,292.0
Poca,Madison,1127.0,273.0,298.0,105.0,0.0,676.0,27.0,45.0,43.0,0.0,115.0,791.0,70.2,676.0,115.0
1A,Clarke,3017.0,294.0,243.0,205.0,0.0,742.0,254.0,456.0,435.0,1.0,1146.0,1888.0,62.6,742.0,1146.0
1B,Clarke,3645.0,153.0,424.0,279.0,3.0,859.0,186.0,717.0,717.0,1.0,1621.0,2480.0,68.0,859.0,1621.0
1C,Clarke,2242.0,165.0,297.0,179.0,0.0,641.0,127.0,505.0,545.0,0.0,1177.0,1818.0,81.1,641.0,1177.0
1D,Clarke,2830.0,202.0,387.0,310.0,0.0,899.0,134.0,549.0,699.0,0.0,1382.0,2281.0,80.6,899.0,1382.0
2A,Clarke,4341.0,152.0,166.0,147.0,0.0,465.0,442.0,732.0,652.0,0.0,1826.0,2291.0,52.8,465.0,1826.0
4A,Clarke,2072.0,78.0,196.0,78.0,0.0,352.0,173.0,450.0,326.0,1.0,950.0,1302.0,62.8,352.0,950.0
5D,Clarke,3087.0,107.0,223.0,127.0,0.0,457.0,303.0,631.0,437.0,4.0,1375.0,1832.0,59.3,457.0,1375.0
8A,Clarke,3319.0,133.0,275.0,247.0,0.0,655.0,189.0,631.0,661.0,1.0,1482.0,2137.0,64.4,655.0,1482.0
8B,Clarke,2317.0,110.0,187.0,171.0,0.0,468.0,182.0,427.0,463.0,0.0,1072.0,1540.0,66.5,468.0,1072.0
8C,Clarke,3910.0,178.0,359.0,203.0,0.0,740.0,269.0,774.0,701.0,2.0,1746.0,2486.0,63.6,740.0,1746.0
Central Jackson,Jackson,16263.0,385.0,1927.0,362.0,1.0,2675.0,75.0,468.0,273.0,0.0,816.0,3491.0,21.5,2675.0,816.0
West Jackson,Jackson,14977.0,1428.0,6421.0,1420.0,2.0,9271.0,287.0,1042.0,779.0,1.0,2109.0,11380.0,76.0,9271.0,2109.0
South Jackson,Jackson,8012.0,857.0,2602.0,715.0,1.0,4175.0,172.0,555.0,477.0,0.0,1204.0,5379.0,67.1,4175.0,1204.0
