index,County,Precinct,Registered Voters,James K. Inagawa (I) (Rep)_Election Day Votes,James K. Inagawa (I) (Rep)_Advanced Voting Votes,James K. Inagawa (I) (Rep)_Absentee by Mail Votes,James K. Inagawa (I) (Rep)_Provisional Votes,James K. Inagawa (I) (Rep)_Choice Total,Total,
0,Fayette,Blackrock,2699,160,691,359,9,1219,1219,
1,Fayette,Brooks,2567,547,1028,371,0,1946,1946,
2,Fayette,Europe,3310,163,754,400,8,1325,1325,
3,Fayette,Fayetteville East,2147,154,601,272,4,1031,1031,
4,Fayette,Fayetteville West,2362,174,714,329,0,1217,1217,
5,Fayette,Flint,1732,180,459,196,0,835,835,
6,Fayette,Hopeful,2309,247,622,251,0,1120,1120,
7,Fayette,Morning Creek,3059,193,907,518,1,1619,1619,
8,Fayette,Rareover,3045,179,1473,278,3,1933,1933,
9,Fayette,Sandy Creek,4848,239,1608,462,3,2312,2312,
10,Fayette,Shakerag East,1689,229,595,185,2,1011,1011,
11,Fayette,Shakerag West,1236,62,568,177,1,808,808,
12,Fayette,Starrsmill,3572,442,1259,471,0,2172,2172,
13,Fayette,Whitewater,3564,348,1533,526,8,2415,2415,
14,Fayette,Woolsey,2542,348,1047,422,0,1817,1817,
15,Fayette,McIntosh,3323,236,1397,461,2,2096,2096,
16,Fayette,Oak Grove,1344,153,557,152,1,863,863,
17,Fayette,Kedron,4862,437,1818,602,2,2859,2859,
18,Fayette,Aberdeen,1805,162,759,214,0,1135,1135,
19,Fayette,Windgate,1011,141,413,105,2,661,661,
20,Fayette,Flat Creek,2117,226,698,264,3,1191,1191,
21,Fayette,Braelinn,1876,208,869,259,1,1337,1337,
22,Fayette,Kenwood,1014,100,232,119,0,451,451,
23,Fayette,Banks,1624,190,421,252,0,863,863,
24,Fayette,Harps Crossing,1646,182,605,254,2,1043,1043,
25,Fayette,Willow Pond,3100,284,1042,436,7,1769,1769,
26,Fayette,Dogwood,3092,281,1283,433,2,1999,1999,
27,Fayette,Oak Ridge,2225,208,608,341,3,1160,1160,
28,Fayette,Jeff Davis,2876,150,761,342,5,1258,1258,
29,Fayette,Murphy,3224,219,1086,505,4,1814,1814,
30,Fayette,Fielding Ridge,3497,322,1530,412,0,2264,2264,
31,Fayette,Willowbend,2007,176,866,229,0,1271,1271,
32,Fayette,Camp Creek,1895,182,828,244,2,1256,1256,
33,Fayette,Rising Star,3833,411,1945,480,2,2838,2838,
34,Fayette,Spring Hill,3299,187,1111,418,1,1717,1717,
35,Fayette,Antioch,1956,311,606,258,1,1176,1176,
