Precinct,County,Registered Voters,Donald J. Trump (I) (Rep)_Election Day Votes,Donald J. Trump (I) (Rep)_Advanced Voting Votes,Donald J. Trump (I) (Rep)_Absentee by Mail Votes,Donald J. Trump (I) (Rep)_Provisional Votes,Donald J. Trump (I) (Rep)_Choice Total,Joseph R. Biden (Dem)_Election Day Votes,Joseph R. Biden (Dem)_Advanced Voting Votes,Joseph R. Biden (Dem)_Absentee by Mail Votes,Joseph R. Biden (Dem)_Provisional Votes,Joseph R. Biden (Dem)_Choice Total,Jo Jorgensen (Lib)_Election Day Votes,Jo Jorgensen (Lib)_Advanced Voting Votes,Jo Jorgensen (Lib)_Absentee by Mail Votes,Jo Jorgensen (Lib)_Provisional Votes,Jo Jorgensen (Lib)_Choice Total,Total,
100,Ware,4740,86,260,133,0,479,229,918,847,7,2001,3,7,2,0,12,2492,
200A,Ware,2730,181,724,154,3,1062,87,324,154,9,574,11,14,5,0,30,1666,
200B,Ware,976,37,117,49,3,206,38,146,106,0,290,2,4,1,0,7,503,
300,Ware,4061,364,1394,323,6,2087,99,329,195,7,630,7,6,5,1,19,2736,
304,Ware,1269,191,417,70,1,679,17,56,40,0,113,4,2,0,0,6,798,
400,Ware,3538,414,1471,323,4,2212,36,191,134,3,364,4,10,2,0,16,2592,
404,Ware,373,161,69,32,1,263,6,3,15,0,24,1,0,0,0,1,288,
405,Ware,636,209,195,49,1,454,6,8,9,0,23,2,0,0,0,2,479,
406,Ware,1659,294,660,112,1,1067,20,56,28,0,104,9,6,2,0,17,1188,
407,Ware,505,202,110,27,0,339,7,5,5,0,17,1,1,0,0,2,358,
408,Ware,523,214,122,23,0,359,6,7,6,0,19,0,1,0,0,1,379,
409,Ware,984,224,361,73,0,658,12,23,17,0,52,2,1,0,0,3,713,
