Precinct,County,Registered Voters,Andy Jordan (I) (Rep)_Election Day Votes,Andy Jordan (I) (Rep)_Advanced Voting Votes,Andy Jordan (I) (Rep)_Absentee by Mail Votes,Andy Jordan (I) (Rep)_Provisional Votes,Andy Jordan (I) (Rep)_Choice Total,Total,
Anderson,Banks,1533,221,593,123,1,938,938,
Baldwin,Banks,876,93,336,134,0,563,563,
Berlin,Banks,415,45,198,27,1,271,271,
Bushville,Banks,816,121,305,52,1,479,479,
Columbia,Banks,363,65,169,32,0,266,266,
Davids,Banks,1977,260,763,146,4,1173,1173,
Golden Hill,Banks,1008,134,345,78,0,557,557,
Grove River,Banks,600,98,237,73,0,408,408,
Hollingsworth,Banks,667,88,293,62,1,444,444,
Homer,Banks,1544,181,675,129,1,986,986,
Poplar Springs,Banks,1775,232,734,165,1,1132,1132,
Washington,Banks,704,87,310,57,1,455,455,
Wilmonts,Banks,620,78,264,55,0,397,397,
