Precinct,County,Registered Voters,Pat Farrell (I) (Rep)_Election Day Votes,Pat Farrell (I) (Rep)_Advanced Voting Votes,Pat Farrell (I) (Rep)_Absentee by Mail Votes,Pat Farrell (I) (Rep)_Provisional Votes,Pat Farrell (I) (Rep)_Choice Total,Total,
1-17C Islands Christian Church3136,Chatham,381,696,487,1,1565,1565,,
4-02C Frank Murray Comm Center2472,Chatham,254,417,209,0,880,880,,
4-04C Lighthouse Baptist Church2470,Chatham,533,628,375,4,1540,1540,,
4-05C St Francis Episcopal Church2244,Chatham,546,570,315,1,1432,1432,,
4-06C First Baptist of the Island2252,Chatham,528,644,348,3,1523,1523,,
4-07C Wilmington Island UMC,Chatham,3370,614,878,525,3,2020,2020,
4-08C Wilmington Island Pres Church2678,Chatham,597,769,494,0,1860,1860,,
4-10C Guard House Comm Ctr,Chatham,1469,435,275,191,1,902,902,
4-11C Tybee Island School Cafe1640,Chatham,554,212,208,1,975,975,,
4-12C St Peters Episcopal,Chatham,2294,638,529,516,3,1686,1686,
4-13C Skidaway Island Pres Church2469,Chatham,533,589,647,2,1771,1771,,
4-14C Skidaway Island Baptist 1744,Chatham,392,372,433,2,1199,1199,,
4-15C Skidaway Island State Park0,Chatham,328,390,560,3,1281,1281,,
