Precinct,County,Registered Voters,"Rebecca """"Becky"""" Marshall (I) (Rep)_Election Day Votes","Rebecca """"Becky"""" Marshall (I) (Rep)_Advanced Voting Votes","Rebecca """"Becky"""" Marshall (I) (Rep)_Absentee by Mail Votes","Rebecca """"Becky"""" Marshall (I) (Rep)_Provisional Votes","Rebecca """"Becky"""" Marshall (I) (Rep)_Choice Total",Total,
Ellijay South,Gilmer,3172,386,1178,395,2,1961,1961,
Cartecay,Gilmer,1598,408,482,203,2,1095,1095,
Tails Creek,Gilmer,1782,462,484,149,0,1095,1095,
Town Creek,Gilmer,1234,318,328,109,0,755,755,
Leaches,Gilmer,2939,547,983,353,2,1885,1885,
Cherry Log,Gilmer,926,258,240,124,0,622,622,
Boardtown,Gilmer,1391,289,511,209,3,1012,1012,
Mountaintown,Gilmer,1139,272,372,132,1,777,777,
East Ellijay,Gilmer,1655,245,643,220,0,1108,1108,
Ellijay North,Gilmer,1810,288,609,203,1,1101,1101,
Yukon,Gilmer,1288,359,362,128,0,849,849,
Big Creek,Gilmer,1479,373,418,201,0,992,992,
Ellijay Northeast,Gilmer,1851,235,727,236,0,1198,1198,
